Monkey #;No. of traits;Points;Background;Points;Fur;Points;Clothes;Points;Mouth;Points;Eyes;Points;Nose Wear;Points;Face Masks;Points;Ears;Points;Eye Wear;Points;Head;Points;Total Score 
1;5;26.32;Gold;100.00;Lava;50.00;Navy jacket;83.33;Frown;1.64;One eye;62.50;N/A;1.09;Oxygen mask;62.50;Feather earring;28.57;Eyebrow bar;83.33;Roman leaf crown;90.91;590.19
2;4;7.75;Gold;100.00;Rainbow;19.61;Jedi cape;1000.00;Sewn mouth;90.91;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;N/A;1.45;3D glasses;58.82;N/A;2.01;1327.27
3;6;200.00;Gold;100.00;Cheetah;25.64;Navy jacket;83.33;Blowing;33.33;Green;20.83;Nose bar;31.25;N/A;1.31;Feather earring;28.57;AR glasses;125.00;Braided hair;125.00;774.26
4;6;200.00;Gold;100.00;Rainbow;19.61;Pilot jacket;142.86;Tongue out;50.00;Green;20.83;Nose ring;20.41;N/A;1.31;Feather earring;28.57;Futuristic glasses;250.00;Quiff hair;111.11;944.70
5;6;200.00;Gold;100.00;Cheetah;25.64;Tanktop;76.92;Rainbow teeth;25.00;Futuristic;31.25;Nose ring;20.41;N/A;1.31;Gold earring;20.83;Bandage;50.00;Nightvision helmet;76.92;628.28
6;5;26.32;Gold;100.00;Cheetah;25.64;Spiked armour;83.33;Gold teeth;20.41;Green;20.83;Nose bar;31.25;N/A;1.31;N/A;1.45;3D glasses;58.82;Afro hair;250.00;619.36
7;5;26.32;Gold;100.00;Rainbow;19.61;Greek toga;83.33;Gold teeth;20.41;Futuristic;31.25;N/A;1.09;Plague;333.33;Gold earring;20.83;N/A;1.97;Roman leaf crown;90.91;729.05
8;6;200.00;Gold;100.00;Lava;50.00;Bathrobe;142.86;Gold teeth;20.41;Futuristic;31.25;Nose ring;20.41;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;Mohawk;71.43;700.17
9;6;200.00;Gold;100.00;Futuristic;33.33;Neck bolts;500.00;Tongue out;50.00;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;Braided hair;125.00;1117.55
10;5;26.32;Gold;100.00;Rainbow;19.61;Smoking jacket;166.67;Gold teeth;20.41;Blue hypnotised;25.00;Nose bar;31.25;N/A;1.31;N/A;1.45;Bandage;50.00;Boxing headgear;100.00;542.02
11;5;26.32;Red;40.00;Futuristic;33.33;Neck bolts;500.00;Rainbow teeth;25.00;Eyeball out;125.00;N/A;1.09;N/A;1.31;Feather earring;28.57;Eyebrow bar;83.33;Roman leaf crown;90.91;954.86
12;4;7.75;Red;40.00;Rainbow;19.61;Greek toga;83.33;Blowing;33.33;N/A;1.83;N/A;1.09;Plague;333.33;Gold earring;20.83;N/A;1.97;Roman leaf crown;90.91;633.98
13;5;26.32;Red;40.00;Gold;100.00;Pilot jacket;142.86;Frown;1.64;Futuristic;31.25;Nose ring;20.41;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;Mohawk;71.43;497.72
14;4;7.75;Red;40.00;Cheetah;25.64;Jumper;100.00;Tongue out;50.00;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;N/A;1.45;AR glasses;125.00;N/A;2.01;398.57
15;4;7.75;Red;40.00;Rainbow;19.61;Futuristic;250.00;Rainbow teeth;25.00;Blue hypnotised;25.00;N/A;1.09;Plague;333.33;Gold earring;20.83;N/A;1.97;N/A;2.01;726.59
16;5;26.32;Red;40.00;Cheetah;25.64;Knight armour;200.00;Blowing;33.33;Orange hypnotised;41.67;Nose ring;20.41;N/A;1.31;Gold earring;20.83;3D glasses;58.82;N/A;2.01;470.34
17;5;26.32;Red;40.00;Cheetah;25.64;Captain jacket;111.11;Gold teeth;20.41;Green;20.83;Nose ring;20.41;N/A;1.31;Stretched earring;83.33;AR glasses;125.00;N/A;2.01;476.37
18;4;7.75;Red;40.00;Cheetah;25.64;Jumper;100.00;Frown;1.64;Orange hypnotised;41.67;Nose bar;31.25;N/A;1.31;Feather earring;28.57;N/A;1.97;Nightvision helmet;76.92;356.72
19;4;7.75;Red;40.00;Lava;50.00;Military jacket;100.00;Rainbow teeth;25.00;N/A;1.83;Nose ring;20.41;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Viking helmet;142.86;432.28
20;5;26.32;Red;40.00;Rainbow;19.61;Fur coat;125.00;Gold teeth;20.41;N/A;1.83;Nose bar;31.25;N/A;1.31;Gold earring;20.83;3D glasses;58.82;Mohawk;71.43;416.81
21;4;7.75;Red;40.00;Futuristic;33.33;Gold chain;66.67;Blowing;33.33;Green;20.83;Nose ring;20.41;N/A;1.31;Feather earring;28.57;N/A;1.97;N/A;2.01;256.18
22;5;26.32;Red;40.00;Futuristic;33.33;Police badge;47.62;Blowing;33.33;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;Feather earring;28.57;Bandage;50.00;N/A;2.01;307.90
23;5;26.32;Red;40.00;Cheetah;25.64;Military jacket;100.00;Sewn mouth;90.91;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;Gold earring;20.83;3D glasses;58.82;N/A;2.01;411.25
24;5;26.32;Red;40.00;Rainbow;19.61;Military jacket;100.00;Gold teeth;20.41;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;Feather earring;28.57;N/A;1.97;Quiff hair;111.11;394.71
25;5;26.32;Red;40.00;Futuristic;33.33;Police badge;47.62;Sewn mouth;90.91;N/A;1.83;Nose ring;20.41;N/A;1.31;Stud earrings;11.90;Eyebrow bar;83.33;Roman helmet;200.00;556.96
26;5;26.32;Red;40.00;Gold;100.00;Greek toga;83.33;Rainbow teeth;25.00;Green;20.83;Nose ring;20.41;N/A;1.31;N/A;1.45;Eyebrow bar;83.33;Dreadlocks;90.91;492.89
27;5;26.32;Red;40.00;Futuristic;33.33;Police badge;47.62;Blowing;33.33;Orange hypnotised;41.67;Nose bar;31.25;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Boxing headgear;100.00;397.95
28;4;7.75;Red;40.00;Rainbow;19.61;Pilot jacket;142.86;Frown;1.64;N/A;1.83;Nose bar;31.25;N/A;1.31;Stretched earring;83.33;3D glasses;58.82;Mohawk;71.43;459.83
29;5;26.32;Red;40.00;Rainbow;19.61;Captain jacket;111.11;Tongue out;50.00;Green;20.83;Nose bar;31.25;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;N/A;2.01;364.94
30;5;26.32;Red;40.00;Lava;50.00;Military jacket;100.00;Gold teeth;20.41;N/A;1.83;Nose ring;20.41;N/A;1.31;Feather earring;28.57;3D glasses;58.82;Mohawk;71.43;419.10
31;4;7.75;Red;40.00;Cheetah;25.64;Spiked armour;83.33;Frown;1.64;Eyeball out;125.00;Nose ring;20.41;N/A;1.31;N/A;1.45;Eyebrow bar;83.33;Dreadlocks;90.91;480.77
32;5;26.32;Red;40.00;Rainbow;19.61;Knight armour;200.00;Rainbow teeth;25.00;Blue hypnotised;25.00;Nose bar;31.25;N/A;1.31;N/A;1.45;Bandage;50.00;Boxing headgear;100.00;519.94
33;4;7.75;Red;40.00;Cheetah;25.64;Military jacket;100.00;Gold teeth;20.41;One eye;62.50;Nose ring;20.41;N/A;1.31;N/A;1.45;N/A;1.97;Dreadlocks;90.91;372.35
34;5;26.32;Red;40.00;Rainbow;19.61;Navy jacket;83.33;Sewn mouth;90.91;Futuristic;31.25;Nose bar;31.25;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;N/A;2.01;388.49
35;4;7.75;Red;40.00;Futuristic;33.33;Gold chain;66.67;Blowing;33.33;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Soccer helmet;166.67;414.10
36;4;7.75;Blue;20.00;Rainbow;19.61;Navy jacket;83.33;Blowing;33.33;Futuristic;31.25;N/A;1.09;N/A;1.31;Stretched earring;83.33;3D glasses;58.82;N/A;2.01;341.83
37;4;7.75;Blue;20.00;Rainbow;19.61;Greek toga;83.33;Gold teeth;20.41;N/A;1.83;Nose bar;31.25;N/A;1.31;Feather earring;28.57;3D glasses;58.82;N/A;2.01;274.89
38;4;7.75;Blue;20.00;Lava;50.00;Spiked armour;83.33;Gold teeth;20.41;One eye;62.50;Nose ring;20.41;N/A;1.31;N/A;1.45;N/A;1.97;Afro hair;250.00;519.13
39;4;7.75;Blue;20.00;Rainbow;19.61;Tanktop;76.92;Gold teeth;20.41;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Boxing headgear;100.00;311.04
40;4;7.75;Blue;20.00;Rainbow;19.61;Tanktop;76.92;Frown;1.64;Futuristic;31.25;Nose bar;31.25;N/A;1.31;Feather earring;28.57;N/A;1.97;Nightvision helmet;76.92;297.19
41;4;7.75;Blue;20.00;Cheetah;25.64;Tanktop;76.92;Frown;1.64;Green;20.83;Nose bar;31.25;N/A;1.31;N/A;1.45;Futuristic glasses;250.00;Mohawk;71.43;508.22
42;4;7.75;Blue;20.00;Futuristic;33.33;Police badge;47.62;Frown;1.64;Green;20.83;N/A;1.09;N/A;1.31;Gold earring;20.83;Bandage;50.00;Nightvision helmet;76.92;281.32
43;4;7.75;Blue;20.00;Rainbow;19.61;Futuristic;250.00;Rainbow teeth;25.00;N/A;1.83;Nose ring;20.41;N/A;1.31;N/A;1.45;Eyebrow bar;83.33;Dreadlocks;90.91;521.60
44;4;7.75;Blue;20.00;Lava;50.00;Navy jacket;83.33;Frown;1.64;Eyeball out;125.00;N/A;1.09;N/A;1.31;Feather earring;28.57;Eyebrow bar;83.33;Quiff hair;111.11;513.13
45;4;7.75;Blue;20.00;Lava;50.00;Mummy;90.91;Blowing;33.33;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;3D glasses;58.82;Soccer helmet;166.67;463.32
46;4;7.75;Blue;20.00;Lava;50.00;Jumper;100.00;Frown;1.64;Futuristic;31.25;Nose ring;20.41;N/A;1.31;N/A;1.45;3D glasses;58.82;Roman leaf crown;90.91;383.54
47;5;26.32;Blue;20.00;Lava;50.00;Spiked armour;83.33;Sewn mouth;90.91;One eye;62.50;Nose ring;20.41;N/A;1.31;N/A;1.45;Eyebrow bar;83.33;Boxing headgear;100.00;539.56
48;5;26.32;Blue;20.00;Rainbow;19.61;Military jacket;100.00;Frown;1.64;Green;20.83;N/A;1.09;Half skeleton;45.45;Feather earring;28.57;AR glasses;125.00;Braided hair;125.00;513.51
49;4;7.75;Blue;20.00;Cheetah;25.64;Pilot jacket;142.86;Frown;1.64;N/A;1.83;Nose bar;31.25;N/A;1.31;Stud earrings;11.90;Eyebrow bar;83.33;Roman helmet;200.00;527.51
50;4;7.75;Blue;20.00;Rainbow;19.61;Fur coat;125.00;Blowing;33.33;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Viking helmet;142.86;425.32
51;4;7.75;Blue;20.00;Cheetah;25.64;Spiked armour;83.33;Gold teeth;20.41;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;Eyebrow bar;83.33;Dreadlocks;90.91;367.21
52;4;7.75;Blue;20.00;Rainbow;19.61;Dollar chain;111.11;Blowing;33.33;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Boxing headgear;100.00;369.31
53;4;7.75;Blue;20.00;Rainbow;19.61;Navy jacket;83.33;Tongue out;50.00;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;Futuristic glasses;250.00;Quiff hair;111.11;566.48
54;4;7.75;Blue;20.00;Gold;100.00;Pilot jacket;142.86;Rainbow teeth;25.00;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Gold earring;20.83;Bandage;50.00;N/A;2.01;395.85
55;4;7.75;Blue;20.00;Cheetah;25.64;Navy jacket;83.33;Blowing;33.33;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;Bandage;50.00;Viking helmet;142.86;398.75
56;5;26.32;Blue;20.00;Rainbow;19.61;Fur coat;125.00;Gold teeth;20.41;Futuristic;31.25;N/A;1.09;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;Braided hair;125.00;432.49
57;5;26.32;Blue;20.00;Cheetah;25.64;Fur coat;125.00;Blowing;33.33;One eye;62.50;N/A;1.09;N/A;1.31;Gold earring;20.83;Eyebrow bar;83.33;Nightvision helmet;76.92;476.27
58;5;26.32;Blue;20.00;Futuristic;33.33;Police badge;47.62;Rainbow teeth;25.00;Blue hypnotised;25.00;Nose bar;31.25;N/A;1.31;Feather earring;28.57;N/A;1.97;Nightvision helmet;76.92;317.29
59;4;7.75;Blue;20.00;Futuristic;33.33;Police badge;47.62;Frown;1.64;Green;20.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Bandage;50.00;Nightvision helmet;76.92;289.06
60;5;26.32;Blue;20.00;Futuristic;33.33;Gold chain;66.67;Rainbow teeth;25.00;Green;20.83;Nose bar;31.25;N/A;1.31;Gold earring;20.83;AR glasses;125.00;N/A;2.01;372.55
61;4;7.75;Blue;20.00;Futuristic;33.33;Gold chain;66.67;Sewn mouth;90.91;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Boxing headgear;100.00;405.85
62;4;7.75;Blue;20.00;Gold;100.00;Tanktop;76.92;Gold teeth;20.41;One eye;62.50;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow bar;83.33;Skating helmet;166.67;541.43
63;4;7.75;Blue;20.00;Cheetah;25.64;Mummy;90.91;Blowing;33.33;Green;20.83;Nose bar;31.25;N/A;1.31;N/A;1.45;N/A;1.97;Roman helmet;200.00;434.44
64;4;7.75;Blue;20.00;Cheetah;25.64;Jumper;100.00;Blowing;33.33;Green;20.83;Nose ring;20.41;N/A;1.31;Stretched earring;83.33;N/A;1.97;N/A;2.01;316.58
65;5;26.32;Blue;20.00;Lava;50.00;Pilot jacket;142.86;Rainbow teeth;25.00;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;Feather earring;28.57;N/A;1.97;Roman leaf crown;90.91;432.35
66;4;7.75;Blue;20.00;Futuristic;33.33;Gold chain;66.67;Gold teeth;20.41;N/A;1.83;Nose ring;20.41;N/A;1.31;Gold earring;20.83;N/A;1.97;Mohawk;71.43;265.94
