Background
Gold;10
Red;25
Blue;50
Pink;85
Purple;130
Green;165
Aqua;235
Grey;300

Fur
Lava;20
Rainbow;51
Cheetah;39
Futuristic;30
Gold;10
Red;90
Zombie;70
Robot;60
Cream;80
Brown;290
Dark brown;160
Grey;100

Clothes
Navy jacket;12
Jedi cape;1
Pilot jacket;7
Tanktop;13
Spiked armour;12
Greek toga;12
Bathrobe;7
Neck bolts;2
Smoking jacket;6
Jumper;10
Futuristic;4
Knight armour;5
Captain jacket;9
Military jacket;10
Fur coat;8
Gold chain;15
Police badge;21
Mummy;11
Dollar chain;9
N/A;1
Robot claws;3
Baseball jersey;25
Shirt & sweater;20
Double sword holster;16
Army jacket;22
Dinner suit;19
Body armor;13
Straight jacket;24
Tuxedo;16
Waistcoat;18
FLAK vest;14
Turtleneck jumper;26
Striped t-shirt;23
Puffa jacket;17
Bandolier;15
Hawaiian shirt;14
Sports jacket;34
High visibility vest;32
Bulletproof vest;30
Bone necklace;40
Dungarees;29
Leather jacket;33
Clock chain;36
Lumberjack shirt;34
Puffer vest;32
T-Shirt;41
Prison jumpsuit;30
Basketball jersey;28
Denim jacket;27
Silver chain;38
Ripped t-shirt;37
Hoodie;39

Mouth
Frown;609
Sewn mouth;11
Blowing;30
Tongue out;20
Rainbow teeth;40
Gold teeth;49
Side smile;75
Silver teeth;50
Missing teeth;62
Goofy smile;54

Eyes
One eye;16
Blue hypnotised;40
Green;48
Futuristic;32
Eyeball out;8
N/A;545
Orange hypnotised;24
Red hypnotised;62
Fire;45
Multicoloured;50
Wide eyed;70
Cross;60

Nose Wear
N/A;919
Nose ring;49
Nose bar;32

Face Masks
Oxygen mask;16
N/A;763
Plague;3
Half skeleton;22
Horror;10
Cyborg;24
Machine;14
Guy Fawkes;18
Leather;20
Robot;12
Clown;8
Gas mask;28
Hazard helmet;6
Half skull;26
Balaclava;30

Ears
Feather earring;35
N/A;689
Gold earring;48
Stretched earring;12
Stud earrings;84
Silver bar earring;72
Earphones;60

Eye Wear
Eyebrow bar;12
3D glasses;17
AR glasses;8
Futuristic glasses;4
Bandage;20
N/A;508
Masquerade mask;24
Eyebrow ring;32
Cyborg eye;36
Ski mask;28
Bandit mask;44
Disco glasses;40
Aviator glasses;40
Goggles;39
Scar;48
Reading glasses;52
Eye patch;48

Head
Roman leaf crown;11
N/A;497
Braided hair;8
Quiff hair;9
Nightvision helmet;13
Afro hair;4
Mohawk;14
Boxing headgear;10
Viking helmet;7
Roman helmet;5
Dreadlocks;11
Soccer helmet;6
Skating helmet;6
Crown;3
Bowler hat;17
Beret;23
Turban;21
Sailors hat;27
Hard hat;20
Punk hair;16
Top hat;15
Man bun;19
Trapper hat;25
Spike helmet;24
Vizor hat;18
Long hair;22
Backwards hat;12
Bucket hat;17
Bandana;13
Baseball hat;18
Pirates hat;16
Straw hat;11
Headphones;12
Beenie hat;11
Military hat;12
Cowboy hat;13
Bobble hat;14

